ts,dmg,ac,level,maxhp,hp_after,nearby
1785570020071,8,69,,911,744,88;22
1785570023075,27,69,,911,736,88;22
1785570024076,12,69,,911,724,88;22
1785570032082,19,69,,911,705,88;22
1785570035085,21,69,,911,684,88;22
1785570038087,18,69,,911,666,88;22
1785570039088,18,69,,911,648,88;22
1785570041090,20,69,,911,628,88;22
1785570047097,35,69,,911,612,88;22
1785570048098,16,69,,911,596,88;22
1785570050600,19,69,,911,577,88;22
1785570053603,6,69,,911,571,88;22
1785570054603,9,69,,911,562,88;22
1785570056609,33,69,,911,529,88;22
1785570057611,7,69,,911,522,88;22
1785570059612,14,69,,911,508,88;22
1785570060612,16,69,,911,492,88;22
1785570066618,7,69,,911,535,88;22
1785570069620,9,69,,911,526,88;22
1785570079135,13,69,,911,532,88;22
1785570090160,21,69,,911,511,88;22
1785570093161,31,69,,911,480,88;22
1785570096163,5,69,,911,525,88;22
1785570099174,8,69,,911,536,88;22
1785570100167,25,69,,911,511,88;22
1785570102169,12,69,,911,499,88;22
1785570112685,10,69,,911,539,88;22
1785570132707,21,69,,911,537,22;89
1785570135712,20,69,,911,517,22;89
1785570144716,15,69,,911,502,22;89
1785570148224,21,69,,911,500,22;89
1785570151225,21,69,,911,529,22;89
1785570151225,42,69,,911,487,22;89
1785570154229,29,69,,911,508,22;89
1785570169341,13,69,,911,495,22;89
1785570172350,17,69,,911,528,22;89
1785570178862,16,69,,911,531,22;89
1785570181866,23,69,,911,508,22;89
1785570181866,9,69,,911,499,22;89
1785570234940,15,69,,911,572,22;88
1785570309503,17,69,,911,612,22;89
1785570367074,13,69,,911,637,22;89
1785570388099,17,69,,911,639,22;89
1785570391100,16,69,,911,623,22;89
1785570397603,15,69,,911,608,22;89
1785570403609,18,69,,911,609,22;89
1785570412617,16,69,,911,593,22;89
1785570422125,10,69,,911,583,22;89
1785570440141,9,69,,911,593,22;89
1785570443144,16,69,,911,577,22;89
1785570446148,13,69,,911,564,22;89
1785570449154,19,69,,911,545,22;89
1785570452652,8,69,,911,556,22;89
1785570461664,21,69,,911,535,22;89
1785570464666,11,69,,911,524,22;89
1785570471176,16,69,,911,508,22;89
1785570474180,10,69,,911,498,22;89
1785570477184,16,69,,911,551,22;89
1785570480187,6,69,,911,545,22;89
1785570486196,16,69,,911,529,22;89
1785570492202,10,69,,911,519,22;89
1785570495203,9,69,,911,510,22;89
1785570498206,16,69,,911,494,22;89
1785570501716,17,69,,911,546,22;89
1785570504713,11,69,,911,535,22;89
1785570510718,16,69,,911,519,22;89
1785570513721,20,69,,911,499,22;89
1785570526236,11,69,,911,557,22;89
1785570529238,10,69,,911,547,22;89
1785570535244,6,69,,911,541,22;89
1785570541249,18,69,,911,523,22;89
1785570544255,12,69,,911,511,22;89
1785570547359,16,69,,911,495,22;89
1785570550363,10,69,,911,554,22;89
1785570559870,9,69,,911,545,22;89
1785570565874,9,69,,911,536,22;89
1785570574891,14,69,,911,522,22;89
1785570577893,8,69,,911,533,22;89
1785570580896,17,69,,911,516,22;89
1785570584398,8,69,,911,508,22;89
1785570590407,10,69,,911,498,22;89
1785570593412,9,69,,911,539,22;89
1785570599417,8,69,,911,531,22;89
1785570611927,6,69,,911,544,22;89
1785570617932,7,69,,911,537,22;89
1785570626939,17,69,,911,539,22;89
1785570636449,20,69,,911,519,22;89
1785570639452,20,69,,911,499,22;89
1785570645459,14,69,,911,535,22;89
1785570648459,15,69,,911,520,22;89
1785570651468,8,69,,911,531,22;89
1785570663478,12,69,,911,519,22;89
1785570666979,8,69,,911,511,22;89
1785570669987,13,69,,911,498,22;89
1785570672989,13,69,,911,535,22;89
1785570681997,8,69,,911,546,22;89
1785570685000,12,69,,911,534,22;89
1785570688010,18,69,,911,516,22;89
1785570694511,11,69,,911,505,22;89
1785570697517,20,69,,911,485,22;89
1785570700517,17,69,,911,518,22;89
1785570703525,12,69,,911,525,22;89
1785570706526,21,69,,911,504,22;89
1785570715538,13,69,,911,491,22;89
1785570719034,8,69,,911,533,22;89
1785570725040,9,69,,911,524,22;89
1785570734046,17,69,,911,526,22;89
1785570737050,20,69,,911,506,22;89
1785570740557,12,69,,911,494,22;89
1785570752577,10,69,,911,553,22;89
1785570755580,16,69,,911,537,22;89
1785570767588,20,69,,911,517,22;89
1785570770590,18,69,,911,499,22;89
1785570774095,18,69,,911,531,22;89
1785570777097,21,69,,911,529,22;89
1785570780102,9,69,,911,520,22;89
1785570783106,13,69,,911,507,22;89
1785570789113,11,69,,911,496,22;89
1785570792117,13,69,,911,533,22;89
1785570795319,16,69,,911,517,22;89
1785570801325,17,69,,911,519,22;89
1785570804329,10,69,,911,509,22;89
1785570807331,17,69,,911,492,22;89
1785570810839,17,69,,911,525,22;89
1785570819845,19,69,,911,506,22;89
1785570825857,16,69,,911,490,22;89
1785570831862,8,69,,911,501,22;89
1785570834866,19,69,,911,532,22;89
1785570837868,9,69,,911,523,22;89
1785570844431,11,69,,911,512,22;89
1785570854007,8,69,,911,523,22;89
1785570857008,17,69,,911,506,22;89
1785570863014,21,69,,911,485,22;89
1785570866016,10,69,,911,525,22;89
1785570869021,14,69,,911,511,22;89
1785570872024,19,69,,911,492,22;89
1785570875027,21,69,,911,521,22;89
1785570878536,19,69,,911,521,22;89
1785570881538,13,69,,911,508,22;89
1785570887543,7,69,,911,501,22;89
1785570890547,20,69,,911,531,22;89
1785570893549,20,69,,911,511,22;89
1785570896551,18,69,,911,493,22;89
1785570905565,11,69,,911,551,22;89
1785570908568,18,69,,911,533,22;89
1785570915075,11,69,,911,522,22;89
1785570918078,13,69,,911,509,22;89
1785570924084,15,69,,911,494,22;89
1785570927086,21,69,,911,523,22;89
1785570936598,9,69,,911,533,22;89
1785570945607,14,69,,911,519,22;89
1785570948609,20,69,,911,499,22;89
1785570954615,19,69,,911,549,22;89
1785570964128,11,69,,911,538,22;89
1785570967130,19,69,,911,519,22;89
1785570970137,17,69,,911,502,22;89
1785570976144,6,69,,911,496,22;89
1785570979145,17,69,,911,548,22;89
1785570982148,10,69,,911,538,22;89
1785570991656,14,69,,911,524,22;89
1785570994659,16,69,,911,508,22;89
1785571007176,9,69,,911,518,22;89
1785571013182,16,69,,911,502,22;89
1785571016183,13,69,,911,489,22;89
1785571022189,20,69,,911,519,22;89
1785571025693,7,69,,911,512,22;89
1785571034707,16,69,,911,515,22;89
1785571037708,16,69,,911,499,22;89
1785571046719,8,69,,911,541,22;89
1785571049719,11,69,,911,530,22;89
1785571052723,17,69,,911,513,22;89
1785571056226,10,69,,911,522,22;89
1785571062230,20,69,,911,502,22;89
1785571074245,16,69,,911,486,22;89
1785571077247,6,69,,911,530,22;89
1785571080250,20,69,,911,529,22;89
1785571083252,17,69,,911,512,22;89
1785571086758,16,69,,911,496,22;89
1785571089760,16,69,,911,530,22;89
1785571095765,20,69,,911,510,22;89
1785571101773,16,69,,911,494,22;89
1785571104777,13,69,,911,550,22;89
1785571114285,18,69,,911,532,22;89
1785571117287,13,69,,911,519,22;89
1785571120290,9,69,,911,510,22;89
1785571123292,7,69,,911,503,22;89
1785571135813,14,69,,911,508,22;89
1785571138814,8,69,,911,500,22;89
1785571150835,17,69,,911,533,22;89
1785571166347,7,69,,911,545,22;89
1785571169349,10,69,,911,535,22;89
1785571172354,17,69,,911,518,22;89
1785571175356,14,69,,911,504,22;89
1785571178861,15,69,,911,489,22;89
1785571181862,19,69,,911,539,22;89
1785571184866,14,69,,911,525,22;89
1785571187870,15,69,,911,510,22;89
1785571193876,14,69,,911,496,22;89
1785571199882,18,69,,911,528,22;89
1785571202889,11,69,,911,517,22;89
1785571218415,19,69,,911,517,22;89
