ts,eid,look,dmg,crit,mob_hp_after,mob_hp_before,level,might,grace,will,might_base,grace_base,will_base,dam,hit,ac
1785302455574,825057,,1,0,99,99,10,8,11,7,8,10,7,1,0,98
1785302456484,834443,185,27,0,0,,10,8,11,7,8,10,7,1,0,98
1785302458496,834444,185,27,0,0,,11,8,12,7,8,11,7,1,0,98
1785302464521,834287,185,28,0,0,,11,8,12,7,8,11,7,1,0,98
1785302466527,835256,185,29,0,0,,11,8,12,7,8,11,7,1,0,98
1785302467030,834288,185,27,0,0,,11,8,12,7,8,11,7,1,0,98
1785302467115,825057,,1,0,99,100,11,8,12,7,8,11,7,1,0,98
1785302468535,834285,185,84,1,0,,11,8,12,7,8,11,7,1,0,98
1785302470041,838037,185,81,1,0,,11,8,12,7,8,11,7,1,0,98
1785302470108,825057,,1,1,99,99,11,8,12,7,8,11,7,1,0,98
1785302470541,835541,185,27,0,0,,11,8,12,7,8,11,7,1,0,98
1785302472570,838038,185,26,0,0,,11,8,12,7,8,11,7,1,0,98
1785302472651,825057,,1,0,99,99,11,8,12,7,8,11,7,1,0,98
1785302473072,838046,185,26,0,0,,11,8,12,7,8,11,7,1,0,98
1785302476075,834289,185,31,0,0,,11,8,12,7,8,11,7,1,0,98
1785302476588,838047,185,31,0,0,,11,8,12,7,8,11,7,1,0,98
1785302476670,825057,,1,0,99,99,11,8,12,7,8,11,7,1,0,98
1785302478095,838040,185,30,0,0,,11,8,12,7,8,11,7,1,0,98
1785302480100,838092,185,29,0,0,,11,8,12,7,8,11,7,1,0,98
1785302482105,825057,,1,0,99,99,11,8,12,7,8,11,7,1,0,98
1785302482105,838036,185,28,0,0,,11,8,12,7,8,11,7,1,0,98
1785302483111,838039,185,28,0,0,,11,8,12,7,8,11,7,1,0,98
1785302484111,825057,,1,0,99,99,11,8,12,7,8,11,7,1,0,98
1785302484111,834292,185,31,0,0,,11,8,12,7,8,11,7,1,0,98
1785302486623,838093,185,29,0,0,,11,8,12,7,8,11,7,1,0,98
1785302487126,825057,,1,0,99,99,11,8,12,7,8,11,7,1,0,98
1785302488128,838095,185,28,0,0,,11,8,12,7,8,11,7,1,0,98
1785302490147,825057,,3,0,98,99,11,8,12,7,8,11,7,1,0,98
1785302490147,838094,185,27,0,0,,11,8,12,7,8,11,7,1,0,98
1785302491199,825057,,1,0,98,98,11,8,12,7,8,11,7,1,0,98
1785302491200,838096,185,28,0,0,,11,8,12,7,8,11,7,1,0,98
1785302502746,825057,,1,0,99,98,11,8,12,7,8,11,7,1,0,98
1785302502746,838177,185,30,0,0,,11,8,12,7,8,11,7,1,0,98
1785302505752,838178,185,27,0,0,,11,8,12,7,8,11,7,1,0,98
1785302506773,825057,,1,0,99,99,11,8,12,7,8,11,7,1,0,98
1785302507272,838180,185,28,0,0,,11,8,12,7,8,11,7,1,0,98
1785302507773,825057,,1,0,99,99,11,8,12,7,8,11,7,1,0,98
1785302509275,838179,185,29,0,0,,11,8,12,7,8,11,7,1,0,98
1785302510775,838173,185,28,0,0,,12,9,13,8,9,12,8,1,0,98
1785302511775,838174,185,84,1,0,,12,9,13,8,9,12,8,1,0,98
1785302514317,838172,185,29,0,0,,12,9,13,8,9,12,8,1,0,98
1785302515323,838176,185,26,0,0,,12,9,13,8,9,12,8,1,0,98
1785303044038,77632,,6,0,33,,12,9,12,8,9,12,8,0,0,98
1785303044539,77632,,8,0,0,33,12,9,12,8,9,12,8,0,0,98
1785303201196,41319,25,28,0,0,,12,9,13,8,9,12,8,1,0,83
1785303366072,41364,519,48,0,94,,12,9,13,8,9,12,8,1,0,83
1785303366574,41364,519,46,0,89,94,12,9,13,8,9,12,8,1,0,83
1785303367073,41364,519,46,0,83,89,12,9,13,8,9,12,8,1,0,83
1785303368576,825057,,140,0,97,100,12,9,13,8,9,12,8,1,0,83
1785303368576,41364,519,24,0,81,83,12,9,13,8,9,12,8,1,0,83
1785303369075,41364,519,20,0,78,81,12,9,13,8,9,12,8,1,0,83
1785303370576,825057,,113,0,93,97,12,9,13,8,9,12,8,1,0,83
1785303371077,41364,519,24,0,76,78,12,9,13,8,9,12,8,1,0,83
1785303371578,41364,519,24,0,73,76,12,9,13,8,9,12,8,1,0,83
1785303372078,41364,519,21,0,70,73,12,9,13,8,9,12,8,1,0,83
1785303372579,825057,,96,0,90,93,12,9,13,8,9,12,8,1,0,83
1785303375083,825057,,83,0,88,90,12,9,13,8,9,12,8,1,0,83
1785303375583,41364,519,22,0,68,70,12,9,13,8,9,12,8,1,0,83
1785303376085,41364,519,21,0,66,68,12,9,13,8,9,12,8,1,0,83
1785303376586,41364,519,69,1,58,66,12,9,13,8,9,12,8,1,0,83
1785303377085,825057,,63,0,85,88,12,9,13,8,9,12,8,1,0,83
1785303378086,41364,519,24,0,55,58,12,9,13,8,9,12,8,1,0,83
1785303378591,41364,519,22,0,52,55,12,9,13,8,9,12,8,1,0,83
1785303379589,825057,,56,0,84,85,12,9,13,8,9,12,8,1,0,83
1785303379591,41364,519,20,0,50,52,12,9,13,8,9,12,8,1,0,83
1785303380093,41364,519,20,0,48,50,12,9,13,8,9,12,8,1,0,83
1785303380593,41364,519,20,0,45,48,12,9,13,8,9,12,8,1,0,83
1785303381095,41364,519,22,0,43,45,12,9,13,8,9,12,8,1,0,83
1785303381593,825057,,35,0,81,84,12,9,13,8,9,12,8,1,0,83
1785303383595,41364,519,24,0,40,43,12,9,13,8,9,12,8,1,0,83
1785303384095,825057,,18,0,78,81,12,9,13,8,9,12,8,1,0,83
1785303384596,41364,519,69,1,32,40,12,9,13,8,9,12,8,1,0,83
1785303385599,41364,519,20,0,30,32,12,9,13,8,9,12,8,1,0,83
1785303386102,41364,519,22,0,27,30,12,9,13,8,9,12,8,1,0,83
1785303386600,825057,,1,0,76,78,12,9,13,8,9,12,8,1,0,83
1785303386600,825057,,206,0,83,76,12,9,13,8,9,12,8,1,0,83
1785303387599,41364,519,21,0,25,27,12,9,13,8,9,12,8,1,0,83
1785303388100,41364,519,24,0,22,25,12,9,13,8,9,12,8,1,0,83
1785303389101,825057,,35,0,81,83,12,9,13,8,9,12,8,1,0,83
1785303390102,41364,519,23,0,20,22,12,9,13,8,9,12,8,1,0,83
1785303390662,41364,519,22,0,17,20,12,9,13,8,9,12,8,1,0,83
1785303391176,825057,,20,0,79,81,12,9,13,8,9,12,8,1,0,83
1785303391702,41364,519,21,0,15,17,12,9,13,8,9,12,8,1,0,83
1785303392200,41364,519,24,0,12,15,12,9,13,8,9,12,8,1,0,83
1785303392701,41364,519,21,0,10,12,12,9,13,8,9,12,8,1,0,83
1785303393207,825057,,255,0,76,79,12,9,13,8,9,12,8,1,0,83
1785303394726,41364,519,21,0,7,10,12,9,13,8,9,12,8,1,0,83
1785303395707,825057,,231,0,72,76,12,9,13,8,9,12,8,1,0,83
1785303396204,41364,519,22,0,5,7,12,9,13,8,9,12,8,1,0,83
1785303397710,41364,519,21,0,2,5,12,9,13,8,9,12,8,1,0,83
1785303398207,825057,,210,0,69,72,12,9,13,8,9,12,8,1,0,83
1785303398208,41364,519,21,0,1,2,12,9,13,8,9,12,8,1,0,83
1785303399210,41364,519,21,0,0,1,12,9,13,8,9,12,8,1,0,83
1785303400289,825057,,195,0,67,69,12,9,13,8,9,12,8,1,0,83
1785303647987,62609,,46,0,95,,12,9,13,8,9,12,8,0,0,83
1785303649487,62609,,42,0,92,95,12,9,13,8,9,12,8,0,0,83
1785303650988,62609,,48,0,87,92,12,9,13,8,9,12,8,0,0,83
1785303651486,825057,,47,0,83,67,12,9,13,8,9,12,8,0,0,83
1785303653488,825057,,22,0,79,83,12,9,13,8,9,12,8,0,0,83
1785303655490,825057,,246,0,74,79,12,9,13,8,9,12,8,0,0,83
1785303655490,62609,,21,0,85,87,12,9,13,8,9,12,8,0,0,83
1785303657492,825057,,237,0,73,74,12,9,13,8,9,12,8,0,0,83
1785303658004,62609,,22,0,83,85,12,9,13,8,9,12,8,0,0,83
1785303659494,825057,,210,0,69,73,12,9,13,8,9,12,8,0,0,83
1785303659495,62609,,20,0,82,83,12,9,13,8,9,12,8,0,0,83
1785303660498,62609,,24,0,79,82,12,9,13,8,9,12,8,0,0,83
1785303661001,62609,,65,1,74,79,12,9,13,8,9,12,8,0,0,83
1785303661496,62609,,24,0,71,74,12,9,13,8,9,12,8,0,0,83
1785303661998,825057,,187,0,65,69,12,9,13,8,9,12,8,0,0,83
1785303663507,62609,,21,0,70,71,12,9,13,8,9,12,8,0,0,83
1785303664009,825057,,163,0,62,65,12,9,13,8,9,12,8,0,0,83
1785303664009,62609,,22,0,68,70,12,9,13,8,9,12,8,0,0,83
1785303666010,825057,,134,0,58,62,12,9,13,8,9,12,8,0,0,83
1785303668012,825057,,110,0,54,58,12,9,13,8,9,12,8,0,0,83
1785303668508,62609,,23,0,66,68,12,9,13,8,9,12,8,0,0,83
1785303669009,825057,,206,0,61,54,12,9,13,8,9,12,8,0,0,83
1785303670013,825057,,138,0,58,61,12,9,13,8,9,12,8,0,0,83
1785303670511,62609,,22,0,64,66,12,9,13,8,9,12,8,0,0,83
1785303672013,825057,,116,0,55,58,12,9,13,8,9,12,8,0,0,83
1785303674032,825057,,94,0,52,55,12,9,13,8,9,12,8,0,0,83
1785303674032,62609,,21,0,62,64,12,9,13,8,9,12,8,0,0,83
1785303674515,62609,,21,0,60,62,12,9,13,8,9,12,8,0,0,83
1785303675017,62609,,22,0,58,60,12,9,13,8,9,12,8,0,0,83
1785303676019,825057,,66,0,47,52,12,9,13,8,9,12,8,0,0,83
1785303678026,825057,,30,0,80,47,12,9,13,8,9,12,8,0,0,83
1785303679029,62609,,21,0,56,58,12,9,13,8,9,12,8,0,0,83
1785303680032,825057,,12,0,77,80,12,9,13,8,9,12,8,0,0,83
1785303681032,62609,,23,0,54,56,12,9,13,8,9,12,8,0,0,83
1785303682031,825057,,247,0,74,77,12,9,13,8,9,12,8,0,0,83
1785303682529,62609,,21,0,52,54,12,9,13,8,9,12,8,0,0,83
1785303684036,825057,,238,0,73,74,12,9,13,8,9,12,8,0,0,83
1785303684531,62609,,65,1,46,52,12,9,13,8,9,12,8,0,0,83
1785303686038,62609,,21,0,44,46,12,9,13,8,9,12,8,0,0,83
1785303686537,825057,,214,0,69,73,12,9,13,8,9,12,8,0,0,83
1785303686537,62609,,23,0,42,44,12,9,13,8,9,12,8,0,0,83
1785303687537,62609,,22,0,40,42,12,9,13,8,9,12,8,0,0,83
1785303688040,62609,,23,0,38,40,12,9,13,8,9,12,8,0,0,83
1785303688538,825057,,192,0,66,69,12,9,13,8,9,12,8,0,0,83
1785303688538,62609,,21,0,36,38,12,9,13,8,9,12,8,0,0,83
1785303690542,825057,,169,0,63,66,12,9,13,8,9,12,8,0,0,83
1785303690542,62609,,22,0,34,36,12,9,13,8,9,12,8,0,0,83
1785303692541,825057,,129,0,95,63,12,9,13,8,9,12,8,0,0,83
1785303692541,62609,,24,0,32,34,12,9,13,8,9,12,8,0,0,83
1785303693042,62609,,21,0,30,32,12,9,13,8,9,12,8,0,0,83
1785303694542,825057,,106,0,91,95,12,9,13,8,9,12,8,0,0,83
1785303696047,62609,,20,0,28,30,12,9,13,8,9,12,8,0,0,83
1785303696545,825057,,76,0,87,91,12,9,13,8,9,12,8,0,0,83
1785303697547,62609,,22,0,26,28,12,9,13,8,9,12,8,0,0,83
1785303698551,825057,,55,0,84,87,12,9,13,8,9,12,8,0,0,83
1785303698551,62609,,21,0,25,26,12,9,13,8,9,12,8,0,0,83
1785303700550,825057,,24,0,79,84,12,9,13,8,9,12,8,0,0,83
1785303701055,62609,,21,0,23,25,12,9,13,8,9,12,8,0,0,83
1785303701552,62609,,22,0,21,23,12,9,13,8,9,12,8,0,0,83
1785303702557,825057,,6,0,77,79,12,9,13,8,9,12,8,0,0,83
1785303703555,62609,,20,0,19,21,12,9,13,8,9,12,8,0,0,83
1785303704553,62609,,22,0,17,19,12,9,13,8,9,12,8,0,0,83
1785303705056,825057,,138,0,96,77,12,9,13,8,9,12,8,0,0,83
1785303705056,62609,,23,0,15,17,12,9,13,8,9,12,8,0,0,83
1785303705557,62609,,23,0,13,15,12,9,13,8,9,12,8,0,0,83
1785303706058,62609,,20,0,11,13,12,9,13,8,9,12,8,0,0,83
1785303707064,825057,,109,0,92,96,12,9,13,8,9,12,8,0,0,83
1785303709061,825057,,91,0,89,92,12,9,13,8,9,12,8,0,0,83
1785303709061,62609,,22,0,9,11,12,9,13,8,9,12,8,0,0,83
1785303711062,825057,,73,0,87,89,12,9,13,8,9,12,8,0,0,83
1785303712064,62609,,21,0,7,9,12,9,13,8,9,12,8,0,0,83
1785303713067,825057,,46,0,83,87,12,9,13,8,9,12,8,0,0,83
1785303713067,62609,,24,0,5,7,12,9,13,8,9,12,8,0,0,83
1785303714071,62609,,23,0,3,5,12,9,13,8,9,12,8,0,0,83
1785303715070,825057,,16,0,78,83,12,9,13,8,9,12,8,0,0,83
1785303715070,62609,,21,0,1,3,12,9,13,8,9,12,8,0,0,83
1785303715567,62609,,21,0,0,1,12,9,13,8,9,12,8,0,0,83
1785303715645,825057,,241,0,73,78,12,9,13,8,9,12,8,0,0,83
1785304789478,849745,,42,0,95,,12,9,13,8,9,12,8,1,0,73
1785304790479,849745,,48,0,89,95,12,9,13,8,9,12,8,1,0,73
1785304790980,849745,,45,0,84,89,12,9,13,8,9,12,8,1,0,73
1785304791479,849745,,43,0,79,84,12,9,13,8,9,12,8,1,0,73
1785304792481,852477,,141,0,97,,12,9,13,8,9,12,8,1,0,73
1785304794482,852477,,117,0,93,97,12,9,13,8,9,12,8,1,0,73
1785304794482,849745,,21,0,77,79,12,9,13,8,9,12,8,1,0,73
1785304794981,849745,,20,0,74,77,12,9,13,8,9,12,8,1,0,73
1785304795487,849745,,21,0,72,74,12,9,13,8,9,12,8,1,0,73
1785304795985,849745,,23,0,69,72,12,9,13,8,9,12,8,1,0,73
1785304796485,852477,,116,0,93,93,12,9,13,8,9,12,8,1,0,73
1785304798484,852477,,100,0,91,93,12,9,13,8,9,12,8,1,0,73
1785304798486,849745,,21,0,67,69,12,9,13,8,9,12,8,1,0,73
1785304800487,852477,,86,0,88,91,12,9,13,8,9,12,8,1,0,73
1785304801488,849745,,63,1,60,67,12,9,13,8,9,12,8,1,0,73
1785304801987,849745,,21,0,57,60,12,9,13,8,9,12,8,1,0,73
1785304802490,852477,,72,0,86,88,12,9,13,8,9,12,8,1,0,73
1785304802995,849745,,24,0,54,57,12,9,13,8,9,12,8,1,0,73
1785304804497,852477,,60,0,85,86,12,9,13,8,9,12,8,1,0,73
1785304804498,849745,,21,0,52,54,12,9,13,8,9,12,8,1,0,73
1785304804999,849745,,24,0,49,52,12,9,13,8,9,12,8,1,0,73
1785304805500,849745,,23,0,47,49,12,9,13,8,9,12,8,1,0,73
1785304806501,852477,,46,0,83,85,12,9,13,8,9,12,8,1,0,73
1785304806501,849745,,21,0,44,47,12,9,13,8,9,12,8,1,0,73
1785304808001,849745,,22,0,42,44,12,9,13,8,9,12,8,1,0,73
1785304808504,852477,,26,0,80,83,12,9,13,8,9,12,8,1,0,73
1785304809004,849745,,21,0,39,42,12,9,13,8,9,12,8,1,0,73
1785304810503,852477,,7,0,77,80,12,9,13,8,9,12,8,1,0,73
1785304812506,852477,,245,0,74,77,12,9,13,8,9,12,8,1,0,73
1785304814006,849745,,21,0,37,39,12,9,13,8,9,12,8,1,0,73
1785304814508,849745,,23,0,34,37,12,9,13,8,9,12,8,1,0,73
1785304815006,852477,,227,0,71,74,12,9,13,8,9,12,8,1,0,73
1785304816510,849745,,22,0,32,34,12,9,13,8,9,12,8,1,0,73
1785304817010,852477,,202,0,68,71,12,9,13,8,9,12,8,1,0,73
